,0,1,2,3,3.1,4,5,6,6.1,7,7.1,9,10,12,13,14,15,15.1,16,17,18,19,20,20.1,21,22,23,24,25,26,27,27.1,28,29,29.1,30,32,33,35,37,38,39,40,41,42,43,44,45,46,47,48,49,50,53,54,55,56,58,59,60,61,62,63,66,67,68,69,71,71.1,72,73,74,75,76,78,79,80,81,82,83,84,86,88,89,90,91,93,94,95,96,97,98,99
10,Related to death case,Met in prison,,Works on,Alumni,Relative,Interview,Father-in-law,,Previewed,Wears Jersey,Accident location,Brings back,Participated in reality show,,Prohibits,Discovered by,,Lead Role,Victim of fraud,Grandmother,,Asks,,Wax figure,Honoured by naming,Ex-partner,Co-founder,Commented,Defamation case filed against,Donor,,Defamed,,,Construction Plan,,Acting Debut,,,Vacationing,,Focuses on,Spotted together,Awarded for,Purchased office units in,Contender,Record-breaking opening,Production,Title Song,Rumored to be dating,Chief Priest,Received birthday wishes from,,Tried to pacify,Cast member,,Involved in concerning incident with,,Sister,Eats,,,Cameo appearance,Starred,Collaborated on tracks,,,,Performs,Appeared in,Purchased remake rights,Romantic partner,Lent voice for,,,,Falls in love with,Triggered ban on Hindi films,,,Referenced in Scene,Screenplay writer,Kisses,Featured in campaign,,,Commends,Airs on,Distributor,,Desired,Original Songwriter
11,Mourned death of,Quashed case,,Worked in,Has investor,Connected to,Interviewee,On-screen mother,,Series about,Wears,Film location,Influenced,Present at event,,Opposes,Appointed by,,Both won National Award for Best Actress,Allegations of use,Grandparent,,Reads,,Portrays,Amazed judges,Ex-husband,Future collaborator,Eyewitness,Legal issue,Funded,,Threatened,,,Previous movie,,Debuted on,,,Visited,,Surpasses,Posing with,Award Presenter,Owns,Opponent,Beat record set by,Production Banner,Has song,Rumoured boyfriend,Coach of,Celebrated 25th anniversary,,,Initial cast,,Involved in Rape Case,,Uncle,Deals with,,,Special appearance,Starred in,Collaborated on album song,,,,Concert in,Appearing in,Remake of,Potential strike partners,,,,,Love for,Refused to screen,,,,Directed and Produced,Kissing,,,,Admires musical talent,Release Date,Founder,,Desires to see,Lyrics
12,Fulfilled last wish,Dismisses plea,,Works at,,Loyal,Encounter,Stepmother,,Shares sneak peek of,Played as,Location of police station,,Attended wedding,,Opposition,Founder of,,Actors,Alleged close ties with,Grandchild,,Amends,,Depicted in,Prominent,Ex-employee,Co-participant,Criticizes,Complaints,,,Hit with,,,Latest Project,,Debut Film,,,Host Country,,Serves,Hung out with,Received nomination for,Purchased,Challenging,Beat Record,Former producer,,Rumoured girlfriend,Successor as FTII President,,,,,,Involved in incident with,,Cousin,Interacts with,,,,Starring in,Collaborated in,,,,Scheduled to perform in,Seen with,Proposes remake,Girlfriend,,,,,,,,,,Assistant Director,Hugs,,,,Praised,Holiday on release date,Producer,,Desire to meet,Music Composer and Singer
13,Funeral Location,Arrested,,Working on,,Alias,Conducted AMA,Step-mother,,Deepfake video of,Plays for,Location,,Attends,,Part of debate,Organized by,,Lead actor,Allegedly forcibly kissed,,,Discusses,,Portray,Celebrated at,Former couple,,Commented on,Legal action initiated by,,,Experiences street harassment,,,,,,,,,,Participating in,Posed for a picture with,Nominated for,Sub-trust,Challenger,Box office record,Produced,,Rumored partner,Former Ambassador,,,,,,Involved,,Family Member,Talks between,,,,Wrote and starred in,Collaborates with,,,,Dance moves in,Appearing on,Remake in Tamil,Partner,,,,,,,,,,Action Director,Kissed,,,,Congratulated on success,Released in,Developer,,,Music rights sold to
14,Died in accident with,Found hanging in,,Worked with,,Connecting factor,,Played mother,,Teaser attached with,Trial with,Features smoking scenes,,Conducted fan meetup in,,Initially against,Managed by,,Lead Actor,Accuses,,,Discussing game strategy,,Portrayed by,Known for,Ex-couple,,Critic,Filed complaint against,,,Attacks,,,,,,,,,,Reflects,Spotted with,Winner,Personal Guarantee,Rival,Box office run in,Post-production,,Rumored ex-boyfriend,Ex-NCB chief,,,,,,,,,,,,,Stars of the film,,,,,Performs in,,,Date Night Partner,,,,,,,,,,Film Director,Romances,,,,Praise for beauty,Announces,Set Designer,,,Music Composer
15,Memorial,Rescued from,,,,Linked,,Aunt,,Teaser Unveiling,Holidaying with,Set in,,Attended Kirtan,,Possible Strike,Designed for,,Former leading man,Accused in,,,Cutting,,,Successful in,Former Business Partner,,,Complained against,,,Sexually abused,,,,,,,,,,Follows,Selfie,Awarded,Belongs to,Host/Contestant,,,,,High Commission to India,,,,,,,,,,,,,Actress in,,,,,,,,,,,,,,,,,,Writer-Director,,,,,Endorses,Announced,Author of,,,Lyricist
16,Caused death,Grants bail,,,,,,"Wants to avoid father""s mistakes",,Face morphing,Dancing with,,,Attended concert,,Clash,Popularized,,Famous Role,Accused of sexual harassment,,,Speculating,,,Best known for,Ex-boyfriend,,,Complaint filed,,,Fired,,,,,,,,,,Affects,,,Acquired Rights,Trend follower,,,,,Appointed as National Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Director/Actor,,,,,Appreciates Director,,Publisher,,,Music Director
17,Death Place,Denies urgent hearing,,,,,,Mother-in-law,,Generated storyline for,Clash with,,,Attended success party of,,Protests against,Originated from,,New leading man,Alleged partner,,,Reveals details,,,Admitted to,,,,Directed makers to appear before court,,,Shot in,,,,,,,,,,Brings from,,,Infringed personality rights,,,,,,Acted as Kaizad Khambatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Directed,,,,,Congratulates,,,,,
18,Mocked Death,Arrested in connection with,,,,,,Husband,,Shares Trailer,Clashing with,,,Attends launch of,,Conflict,Led by,,Supporting Actor,Alleges physical abuse by,,,Approaches,,,Celebrated success of,,,,Submits action report to,,,Defeated by,,,,,,,,,,Gives,,,Possessed,,,,,,Appoints as National Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Director of,,,,,Praises,,,,,
19,Found dead on,Did not ban,,,,,,Stepfather,,Showcases,Conflict with,,,Concert,,Dispute,Designed by,,Lead Actress,Allegedly pushed,,,Describes,,,Earned appreciation from,,,,Legal battle,,,Assaulter,,,,,,,,,,Contributions to,,,Franchise,,,,,,Key figure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admirer,,,,,
20,Cause of Death,Stayed proceedings,,,,,,Step-aunt,,,Racing with,,,Attendee,,Protested against,,,Protagonist,Accusations of promoting initiatives,,,Posts about,,,Lauded of,,,,Defamation case,,,Insulted,,,,,,,,,,Participates,,,Registered Title,,,,,,Founding member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recognizes,,,,,
21,Died in,Arrested by,,,,,,,,,On strike with,,,Attending engagement,,Probe against,,,,Accused of sexual assault,,,Essays,,,Famous for,,,,Filed plea,,,Shot at,,,,,,,,,,Replaces,,,Bought,,,,,,Former taxi driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worships,,,,,
22,,Conducted raid,,,,,,,,,Friendship with,,,Attended Event,,Scolds,,,,Accused of cheating,,,Concerns,,,Impressed with,,,,Demands FIR against,,,Insults,,,,,,,,,,,,,Owned by,,,,,,Air Force pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Received compliments,,,,,
23,,Entered illegally with children,,,,,,,,,Love story with,,,Met at IIFA Awards,,Speaks out against,,,,Accusation of being self-centered,,,Proceeds,,,Gifted,,,,Issued summons against,,,Self-injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Admires,,,,,
24,,Drugs case,,,,,,,,,Competing with,,,Attended premiere,,Spoke out against,,,,Alleges support for,,,Signs,,,Admiration for,,,,Petition filed in,,,Can combat street harassment if raised properly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Welcomes,,,,,
25,,Trespassed into,,,,,,,,,Vacationing with,,,,,Disagrees with,,,,Accused agents of Indian government in killing of,,,Says,,,Revered,,,,Lawsuit filed in,,,Collapsed during shoot at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praise for acting skills,,,,,
26,,Rescued,,,,,,,,,Sporting,,,,,Controversy,,,,Allegations of cheating,,,Crosses,,,Appreciated by,,,,Issues notice to,,,Misuse of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praised for performance,,,,,
27,,Arrested individuals,,,,,,,,,Running alongside,,,,,,,,,Allegation against,,,Chooses,,,Gained acclaim for,,,,Complained to,,,Caused psychological trauma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appreciates,,,,,
28,,,,,,,,,,,Player,,,,,,,,,Accused of domestic violence,,,Explores,,,Fame,,,,Filed lawsuit against,,,Hit with car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,Candidate,,,,,,,,,Alleged involvement,,,Saves,,,Cheered for,,,,,,,Slapped on stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,Messenger,,,,,,,,,Accusation of dodging calls,,,,,,Delighted,,,,,,,Threw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,Alleged frame-up,,,,,,Emphasized significance of,,,,,,,Sets ablaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,Mentioned in chargesheet,,,,,,Notable Performance,,,,,,,Fought with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,Alleges Bribe Payment,,,,,,Received honorary degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,Suspect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,Accused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,Victim of fraud by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,Accused of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,Accused by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,Accused of influencing witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,Victim of illegal activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
